,dataset,horizon,shaping_process,shaping_window,model,metric,value
2,ETTh1,336,iprollcorr,501,DeepNPTS,rmse,0.326149636965134
2,ETTh1,336,prollcorr,1001,DeepNPTS,rmse,0.3260806213353969
2,ETTh1,720,ipmutual_info,1251,TFT,rmse,0.3260327616670452
2,ETTh1,336,pfarm,501,DeepNPTS,rmse,0.326001489844701
2,ETTh1,192,ipmutual_info,501,NHITS,rmse,0.3259908445596191
2,ETTh1,192,ipmutual_info,751,NHITS,rmse,0.3259840568315425
2,ETTh1,336,ipentropy,501,DeepNPTS,rmse,0.3259801667578929
2,ETTh1,720,prollcov,1251,TSMixerx,rmse,0.3259625190868821
2,ETTh1,336,prollcov,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipmutual_info,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pentropy,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pmutual_info,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipmutual_info,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pmutual_info,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pmutual_info,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcorr,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipmutual_info,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipentropy,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcov,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcov,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcov,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipentropy,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipentropy,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipentropy,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipentropy,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcov,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcorr,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcov,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pmutual_info,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcov,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pentropy,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcorr,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcorr,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pmutual_info,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcorr,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcov,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipmutual_info,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pfarm,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcov,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pentropy,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,ipmutual_info,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,iprollcorr,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pfarm,751,TiDE,rmse,0.3259144955830452
